School,Conf
Air Force,WAC
Akron,MAC
UAB,GMWC
Alabama State,SWAC
Alabama,SEC West
Alcorn State,SWAC
American,CAA
Appalachian State,Southern
Arizona State,Pac-10
Arizona,Pac-10
Little Rock,Sun Belt
Arkansas State,Sun Belt
Arkansas,SEC West
Army,Patriot
Auburn,SEC West
Austin Peay,OVC
Ball State,MAC
Baylor,SWC
Bethune-Cookman,MEAC
Boise State,Big Sky
Boston College,Big East
Boston University,NAC
Bowling Green State,MAC
Bradley,MVC
Brigham Young,WAC
Brown,Ivy
Bucknell,Patriot
Buffalo,MAC East
Butler,MW Coll
Cal State Fullerton,Big West
Cal State Northridge,Big West
UC Irvine,Big West
UC Santa Barbara,Big West
California,Pac-10
Campbell,Big South
Canisius,MAAC
Centenary (LA),TAAC
Central Connecticut State,NEC
Central Florida,TAAC
Central Michigan,MAC
Charleston Southern,Big South
Charlotte,Metro
Chattanooga,Southern
Chicago State,WAC
Cincinnati,GMWC
The Citadel,Southern
Clemson,ACC
Cleveland State,Mid-Cont
Coastal Carolina,Big South
Colgate,Patriot
College of Charleston,TAAC
Colorado State,WAC
Colorado,Big 8
Columbia,Ivy
Connecticut,Big East
Coppin State,MEAC
Cornell,Ivy
Creighton,MVC
Dartmouth,Ivy
Davidson,Southern
Dayton,MW Coll
Delaware State,MEAC
Delaware,NAC
DePaul,GMWC
Detroit Mercy,MW Coll
Drake,MVC
Drexel,NAC
Duke,ACC
Duquesne,MW Coll
East Carolina,CAA
East Tennessee State,Southern
Eastern Illinois,Mid-Cont
Eastern Kentucky,OVC
Eastern Michigan,MAC
Eastern Washington,Big Sky
Evansville,MW Coll
Fairfield,MAAC
Fairleigh Dickinson,NEC
Florida A&M,MEAC
Florida International,TAAC
Florida State,ACC
Florida,SEC East
Fordham,Patriot
Fresno State,WAC
Furman,Southern
George Mason,CAA
George Washington,A-10
Georgetown,Big East
Georgia Southern,Southern
Georgia State,TAAC
Georgia Tech,ACC
Georgia,SEC East
Gonzaga,WCC
Grambling,SWAC
Green Bay,Mid-Cont
Hartford,NAC
Harvard,Ivy
Hawaii,WAC
Hofstra,CAA
Holy Cross,Patriot
Houston,SWC
Howard,MEAC
Idaho State,Big Sky
Idaho,Big Sky
Illinois-Chicago,Mid-Cont
Illinois State,MVC
Illinois,Big Ten
Indiana State,MVC
Indiana,Big Ten
Iona,MAAC
Iowa State,Big 8
Iowa,Big Ten
Jackson State,SWAC
Jacksonville,Sun Belt
James Madison,CAA
Kansas State,Big 8
Kansas,Big 8
Kent State,MAC
Kentucky,SEC East
La Salle,MW Coll
Lafayette,Patriot
Lamar,Sun Belt
Lehigh,Patriot
Liberty,Big South
Long Beach State,Big West
Long Island University,NEC
Louisiana,Sun Belt
Louisiana-Monroe,Southland
Louisiana State,SEC West
Louisiana Tech,Sun Belt
Louisville,Metro
Loyola (IL),MW Coll
Loyola Marymount,WCC
Loyola (MD),MAAC
Maine,NAC
Manhattan,MAAC
Marist,NEC
Marquette,GMWC
Marshall,Southern
Maryland-Baltimore County,Big South
Maryland-Eastern Shore,MEAC
Maryland,ACC
Massachusetts,A-10
McNeese State,Southland
Memphis,GMWC
Mercer,TAAC
Miami (FL),Big East
Miami (OH),MAC
Michigan State,Big Ten
Michigan,Big Ten
Middle Tennessee,OVC
Milwaukee,Horizon
Minnesota,Big Ten
Mississippi State,SEC West
Mississippi Valley State,SWAC
Mississippi,SEC West
Kansas City,Summit
Missouri State,MVC
Missouri,Big 8
Monmouth,NEC
Montana State,Big Sky
Montana,Big Sky
Morehead State,OVC
Morgan State,MEAC
Mount St. Mary's,NEC
Murray State,OVC
Navy,Patriot
Nebraska,Big 8
Nevada-Las Vegas,Big West
Nevada,Big West
New Hampshire,NAC
New Mexico State,Big West
New Mexico,WAC
New Orleans,Sun Belt
Niagara,MAAC
Nicholls State,Southland
UNC Asheville,Big South
North Carolina A&T,MEAC
UNC Greensboro,Southern
NC State,ACC
UNC Wilmington,CAA
North Carolina,ACC
North Texas,Southland
Northeastern,NAC
Northern Arizona,Big Sky
Northern Illinois,Mid-Cont
Northern Iowa,MVC
Northwestern State,Southland
Northwestern,Big Ten
Notre Dame,ACC
Ohio State,Big Ten
Ohio,MAC
Oklahoma State,Big 8
Oklahoma,Big 8
Old Dominion,CAA
Oregon State,Pac-10
Oregon,Pac-10
Pacific,Big West
Penn State,Big Ten
Pennsylvania,Ivy
Pepperdine,WCC
Pittsburgh,Big East
Portland,WCC
Prairie View,SWAC
Princeton,Ivy
Providence,Big East
Purdue,Big Ten
Radford,Big South
Rhode Island,A-10
Rice,SWC
Richmond,CAA
Rider,NEC
Robert Morris,NEC
Rutgers,A-10
Sacramento State,Big Sky
Saint Francis (PA),NEC
Saint Joseph's,A-10
Saint Louis,GMWC
Saint Mary's (CA),WCC
Saint Peter's,MAAC
Sam Houston State,Southland
Samford,TAAC
San Diego State,WAC
San Diego,WCC
San Francisco,WCC
San Jose State,Big West
Santa Clara,WCC
Seton Hall,Big East
Siena,MAAC
South Alabama,Sun Belt
South Carolina State,MEAC
South Carolina,SEC East
South Florida,Metro
Southeast Missouri State,OVC
Southeastern Louisiana,TAAC
Southern California,Pac-10
Southern Illinois,MVC
Southern Methodist,SWC
Southern Mississippi,Metro
Southern Utah,Big Sky
Southern,SWAC
St. Bonaventure,A-10
St. Francis (NY),NEC
St. John's (NY),Big East
Stanford,Pac-10
Stephen F. Austin,Southland
Stetson,TAAC
Syracuse,Big East
Temple,A-10
Tennessee-Martin,OVC
Tennessee State,OVC
Tennessee Tech,OVC
Tennessee,SEC East
Texas A&M,SWC
UT Arlington,Sun Belt
TCU,Big 12
UTEP,CUSA
Texas-Rio Grande Valley,WAC
UTSA,CUSA
Texas Southern,SWAC
Texas State,Southland
Texas Tech,SWC
Texas,SWC
Toledo,MAC
Towson,Big South
Tulane,Metro
Tulsa,MVC
UCLA,Pac-10
Utah State,Big West
Utah,WAC
Valparaiso,Mid-Cont
Vanderbilt,SEC East
Vermont,NAC
Villanova,Big East
Virginia Commonwealth,Metro
VMI,Southern
Virginia Tech,Metro
Virginia,ACC
Wagner,NEC
Wake Forest,ACC
Washington State,Pac-10
Washington,Pac-10
Weber State,Big Sky
West Virginia,A-10
Western Carolina,Southern
Western Illinois,Mid-Cont
Western Kentucky,Sun Belt
Western Michigan,MAC
Wichita State,MVC
William & Mary,CAA
Winthrop,Big South
Wisconsin,Big Ten
Wright State,Mid-Cont
Wyoming,WAC
Xavier,MW Coll
Yale,Ivy
Youngstown State,Mid-Cont
Florida Atlantic,TAAC
Troy,ECC
Cal Poly,AWC
Hampton,MEAC
Jacksonville State,TAAC West
Norfolk State,MEAC
IUPUI,Mid-Cont
Quinnipiac,NEC
Elon,Big South
High Point,Big South
Oakland,Mid-Cont
Sacred Heart,NEC
Binghamton,AEC
Gardner-Webb,A-Sun North
Utah Valley,WAC
Kennesaw State,A-Sun
NJIT,AEC
North Dakota State,Summit
North Florida,A-Sun
South Dakota State,Summit
Cal State Bakersfield,Big West
Central Arkansas,A-Sun
Florida Gulf Coast,A-Sun
North Carolina Central,MEAC
Presbyterian,Big South
South Carolina Upstate,Big South
Bryant,NEC
Houston Christian,Southland
SIU Edwardsville,OVC
North Dakota,Summit
Seattle,WAC
South Dakota,Summit
Omaha,Summit
Northern Kentucky,Horizon
Abilene Christian,WAC
Grand Canyon,WAC
Incarnate Word,Southland
Massachusetts-Lowell,AEC
California Baptist,WAC
North Alabama,A-Sun
Merrimack,NEC
Bellarmine,A-Sun
UC San Diego,Big West
Utah Tech,WAC
Tarleton State,WAC
St. Thomas (MN),Summit
Northeastern Illinois,Summit
Oral Roberts,Summit
Wofford,Southern
Portland State,Big Sky
Arkansas-Pine Bluff,SWAC
Alabama A&M,SWAC
Denver,Summit
Albany (NY),AEC
Belmont,OVC
Stony Brook,AEC
UC Riverside,Big West
Morris Brown,Independent
Birmingham-Southern,Southern
Purdue-Fort Wayne,Horizon
Lipscomb,ASUN
Savannah State,MEAC
Texas A&M-Corpus Christi,SEC
UC Davis,Big West
Longwood,Big South
Northern Colorado,Big Sky
Winston-Salem,CIAA
