,School,xgb_probabilities
0,Abilene Christian,0.0027609584
1,Air Force,0.0027610897
2,Akron,0.0027609505
3,Alabama ,0.0028359587
4,Alabama A&M,0.0027609188
5,Alabama State,0.0027609242
6,Albany (NY),0.0027609188
7,Alcorn State,0.0027609242
8,American,0.002761
9,Appalachian State,0.0027609584
10,Arizona ,0.002870752
11,Arizona State ,0.0027631673
12,Arkansas ,0.002760979
13,Arkansas State,0.0027609488
14,Arkansas-Pine Bluff,0.0027609505
15,Army,0.0027609603
16,Auburn ,0.0027609544
17,Austin Peay,0.0027609488
18,Ball State,0.0027831944
19,Baylor ,0.0027610776
20,Bellarmine,0.0027609505
21,Belmont,0.0027621945
22,Bethune-Cookman,0.0027841511
23,Binghamton,0.0027609488
24,Boise State ,0.0027609603
25,Boston College,0.0027609188
26,Boston University,0.0027609505
27,Bowling Green State,0.0027609188
28,Bradley,0.0027630506
29,Brigham Young,0.0027610452
30,Brown,0.0027609584
31,Bryant,0.0027609505
32,Bucknell,0.0027609488
33,Buffalo,0.0027861928
34,Butler,0.0027609505
35,Cal Poly,0.0027896424
36,Cal State Bakersfield,0.0027609395
37,Cal State Fullerton,0.0027609281
38,Cal State Northridge,0.00276093
39,California,0.0027609281
40,California Baptist,0.0027609337
41,Campbell,0.002783217
42,Canisius,0.00276093
43,Central Arkansas,0.0027608513
44,Central Connecticut State,0.0027609281
45,Central Florida,0.0027609356
46,Central Michigan,0.002760898
47,Charleston Southern,0.0027609053
48,Charlotte,0.0027609395
49,Chattanooga,0.0028142487
51,Cincinnati,0.0027609312
52,Clemson,0.0027608923
53,Cleveland State,0.002760947
54,Coastal Carolina,0.0027609
55,Colgate ,0.0027901125
56,College of Charleston ,0.0027834678
57,Colorado,0.002760947
58,Colorado State,0.0027609554
59,Columbia,0.0027609281
60,Connecticut ,0.0027609295
61,Coppin State,0.0027875672
62,Cornell,0.0027609519
63,Creighton ,0.0027608841
64,Dartmouth,0.002760938
65,Davidson,0.00276093
66,Dayton,0.0027609952
67,Delaware,0.0027609
68,Delaware State,0.002760898
69,Denver,0.0027609698
70,DePaul,0.0027609095
71,Detroit Mercy,0.0028111732
72,Drake ,0.0027609083
73,Drexel,0.002760938
74,Duke ,0.0027609577
75,Duquesne,0.0027609176
76,East Carolina,0.002760934
77,East Tennessee State,0.0027609281
78,Eastern Illinois,0.0027609281
79,Eastern Kentucky,0.0027608878
80,Eastern Michigan,0.0027861684
81,Eastern Washington,0.0027613158
82,Elon,0.002760898
83,Evansville,0.002760898
84,Fairfield,0.002760938
85,Fairleigh Dickinson ,0.0028118365
86,Florida,0.002760898
87,Florida A&M,0.002760938
88,Florida Atlantic ,0.002813285
89,Florida Gulf Coast,0.00276093
90,Florida International,0.002760898
91,Florida State,0.0027844408
92,Fordham,0.002761588
93,Fresno State,0.0027609395
94,Furman ,0.0028369287
95,Gardner-Webb,0.002760938
96,George Mason,0.0027609281
97,George Washington,0.0027841323
98,Georgetown,0.0027861665
99,Georgia,0.0027609302
100,Georgia Southern,0.0027609281
101,Georgia State,0.0027609281
102,Georgia Tech,0.002760898
103,Gonzaga ,0.0027882007
104,Grambling,0.002783219
105,Grand Canyon ,0.002761208
106,Green Bay,0.0027841306
107,Hampton,0.0027861665
109,Harvard,0.002760938
110,Hawaii,0.0027609395
111,High Point,0.002760934
112,Hofstra,0.002761354
113,Holy Cross,0.002760898
114,Houston ,0.0027613277
115,Houston Christian,0.0028098428
116,Howard ,0.0027841302
117,Idaho,0.0027609
118,Idaho State,0.0027609
119,Illinois ,0.0027609337
120,Illinois State,0.0027609
121,Illinois-Chicago,0.002760898
122,Incarnate Word,0.0027609
123,Indiana ,0.0027609537
124,Indiana State,0.0027609
125,Iona ,0.002760928
126,Iowa ,0.0027608897
127,Iowa State ,0.0027609435
128,IUPUI,0.0027841306
129,Jackson State,0.0027609037
130,Jacksonville,0.0027609395
131,Jacksonville State,0.0027609281
132,James Madison,0.0028099301
133,Kansas ,0.0027608923
134,Kansas City,0.0027609337
135,Kansas State ,0.002760944
136,Kennesaw State ,0.0027832014
137,Kent State ,0.002760914
138,Kentucky ,0.0027609477
139,La Salle,0.0027841793
140,Lafayette,0.0027609854
141,Lamar,0.0027609037
142,Lehigh,0.0027609395
143,Liberty,0.0027611246
144,Lindenwood,0.0027609
145,Lipscomb,0.0027608701
146,Little Rock,0.0027841323
147,Long Beach State,0.0028041813
148,Long Island University,0.002760898
149,Longwood,0.0027609435
150,Louisiana ,0.0027611828
151,Louisiana State,0.0027609037
152,Louisiana Tech,0.0027609037
153,Louisiana-Monroe,0.0027609281
154,Louisville,0.0027609
155,Loyola (IL),0.002760898
156,Loyola (MD),0.002760898
157,Loyola Marymount,0.002760898
158,Maine,0.0027609395
159,Manhattan,0.002760938
160,Marist,0.0027609281
161,Marquette ,0.0027895058
162,Marshall,0.0027871102
163,Maryland ,0.0027609395
164,Maryland-Baltimore County,0.0027609
165,Maryland-Eastern Shore,0.002760938
166,Massachusetts,0.0027609337
167,Massachusetts-Lowell,0.0028094838
168,McNeese State,0.0027609565
169,Memphis ,0.002909742
170,Mercer,0.0027609281
171,Merrimack,0.0027609812
172,Miami (FL) ,0.0027878825
173,Miami (OH),0.0027609
174,Michigan,0.002760898
175,Michigan State ,0.0027617645
176,Middle Tennessee,0.0027609337
177,Milwaukee,0.0027609053
178,Minnesota,0.0027609281
179,Mississippi,0.0027609037
