,School,logit_probabilities,rf_probabilities,xgb_probabilities,nn_probabilities
8068,Abilene Christian,1.332576843521367e-10,0.0,0.0028348635,0.0
8069,Air Force,1.499134928964812e-17,0.0,0.0027785702,0.0
8070,Akron,1.0400693630893115e-10,0.0,0.0027896785,0.0
8071,Alabama,2.908628105790031e-06,0.0,0.0028277917,0.0
8072,Alabama A&M,5.792775741888274e-17,0.0,0.0027827665,0.0
8073,Alabama State,8.324144288966107e-18,0.0,0.0027944453,0.0
8074,Albany (NY),6.183040109126171e-17,0.0,0.0027785911,0.0
8075,Alcorn State,4.111153876481172e-14,0.0,0.0027898059,0.0
8076,American,6.244790730715144e-17,0.0,0.002778562,0.0
8077,Appalachian State,1.7701102232397733e-12,0.0,0.0027785634,0.0
8078,Arizona,0.006638876569868431,0.03125,0.0029843072,0.05
8079,Arizona State,9.076716789584157e-12,0.0,0.002783901,0.0
8080,Arkansas,0.014353970241915225,0.0,0.0028672824,0.05
8081,Arkansas State,1.255758050275131e-13,0.0,0.0027786675,0.0
8082,Arkansas-Pine Bluff,6.583348931885849e-21,0.0,0.0027691608,0.0
8083,Army,1.750242829629676e-16,0.0,0.0027880762,0.0
8084,Auburn,0.0020682248697408965,0.0,0.002842185,0.05
8085,Austin Peay,6.186994550201295e-18,0.0,0.002778559,0.0
8086,Ball State,4.084757609647813e-15,0.0,0.0027744886,0.0
8087,Baylor,0.0005933869859246718,0.09375,0.0028327922,0.05
8088,Bellarmine,3.317956526785752e-14,0.0,0.0027880152,0.0
8089,Belmont,5.241872470919256e-09,0.0,0.0028383648,0.0
8090,Bethune-Cookman,3.379504044812261e-16,0.0,0.002769165,0.0
8091,Binghamton,1.0229883820634889e-17,0.0,0.0027785702,0.0
8092,Boise State,1.663496800174074e-07,0.0,0.0028339252,0.0
8093,Boston College,2.642688305942545e-10,0.0,0.0027744563,0.0
8094,Boston University,1.1337450371102807e-11,0.0,0.0027785401,0.0
8095,Bowling Green State,9.362105305795591e-14,0.0,0.002774453,0.0
8096,Bradley,1.2212084781586337e-09,0.0,0.0027839663,0.0
8097,Brigham Young,3.8415645257588834e-07,0.0,0.0028021373,0.0
8098,Brown,5.080744293457522e-15,0.0,0.0027691617,0.0
8099,Bryant,8.892418798044485e-14,0.0,0.0028404864,0.0
8100,Bucknell,3.0560345098055464e-16,0.0,0.0027947468,0.0
8101,Buffalo,5.31096960060619e-11,0.0,0.0027950017,0.0
8102,Butler,2.600548667402567e-11,0.0,0.0027744563,0.0
8103,Cal Poly,6.016808381513163e-19,0.0,0.0027691578,0.0
8104,Cal State Bakersfield,9.498519588269127e-18,0.0,0.0027691638,0.0
8105,Cal State Fullerton,6.264753583092238e-10,0.0,0.0027937312,0.0
8106,Cal State Northridge,1.0368599318993586e-18,0.0,0.002769165,0.0
8107,California,9.632035928548529e-12,0.0,0.0027744602,0.0
8108,California Baptist,1.9817593727105668e-16,0.0,0.0028183379,0.0
8109,Campbell,3.1903255706206945e-16,0.0,0.0027838675,0.0
8110,Canisius,1.7763492760630292e-17,0.0,0.0027744563,0.0
8111,Central Arkansas,1.9916325777400183e-15,0.0,0.0028039417,0.0
8112,Central Connecticut State,2.650420105619543e-17,0.0,0.002769165,0.0
8113,Central Florida,1.16563203896637e-10,0.0,0.002800244,0.0
8114,Central Michigan,4.750357983135052e-18,0.0,0.002769165,0.0
8115,Charleston Southern,2.63016309748385e-17,0.0,0.0027691722,0.0
8116,Charlotte,7.801702364035405e-12,0.0,0.0028094293,0.0
