School,City State,State,State_abrv,From,To,Yrs,G,W,L,W-L%,SRS,SOS,AP,CREG,CTRN,NCAA,FF,NC,Lat,Long,,,,
Kentucky,Lexington Kentucky,Kentucky,KY,1903,2023,120,3100,2360,739,0.762,17.65,6.69,54,56,33,60,17,8,37.839333,-84.27002,,,,
North Carolina,Chapel Hill North Carolina,North Carolina,NC,1911,2023,113,3170,2328,842,0.734,15.75,7.05,51,39,26,52,21,6,35.782169,-80.793457,,,,
UCLA,Los Angeles California,California,CA,1920,2023,104,2852,1964,888,0.689,15.65,6.96,42,31,4,51,19,11,36.778259,-119.417931,,,,
Kansas,Lawrence Kansas,Kansas,KS,1899,2023,125,3243,2365,878,0.729,15.87,7.24,47,63,16,50,16,4,38.5,-98,,,,
Duke,Durham North Carolina,North Carolina,NC,1906,2023,118,3167,2254,913,0.712,16.3,6.7,50,23,26,44,17,5,35.782169,-80.793457,,,,
Louisville,Louisville Kentucky,Kentucky,KY,1912,2023,109,2864,1895,969,0.662,13.07,6.55,35,23,17,43,10,3,37.839333,-84.27002,,,,
Syracuse,Syracuse New York,New York,NY,1901,2023,122,3014,2061,953,0.684,9.62,4.01,30,10,5,41,6,1,43,-75,,,,
Villanova,Villanova Pennsylvania,Pennsylvania,PA,1921,2023,103,2816,1854,962,0.658,10.42,5.81,26,14,8,41,7,3,41.203323,-77.194527,,,,
Indiana,Bloomington Indiana,Indiana,IN,1901,2023,123,2988,1893,1095,0.634,13.97,8.03,28,22,0,40,8,5,40.273502,-86.126976,,,,
Notre Dame,Notre Dame Indiana,Indiana,IN,1897,2023,119,3013,1943,1069,0.645,10.04,5.75,25,1,1,37,1,0,40.273502,-86.126976,,,,
Arizona,Tucson Arizona,Arizona,AZ,1905,2023,116,2824,1864,959,0.66,9.34,5.12,28,25,8,36,4,1,34.048927,-111.093735,,,,
Texas,Austin Texas,Texas,TX,1906,2023,117,2973,1855,1118,0.624,6.83,3.77,13,25,3,36,3,0,31,-100,,,,
